====================================================================================================
ANALIZADOR LÉXICO PARA RUBY
====================================================================================================

Usuario: Angelo
Fecha: 26/11/2025 20:11:19
Archivo analizado: temp_codigo.rb
====================================================================================================

TOKENS RECONOCIDOS:
----------------------------------------------------------------------------------------------------
Tipo                      Valor                          Línea      Posición  
PARENTESIS_IZQ            (                              90         2874      
VARIABLE_LOCAL            side                           90         2875      
ASIGNACION                =                              90         2879      
STRING                    left                           90         2880      
COMA                      ,                              90         2886      
VARIABLE_LOCAL            fill                           90         2888      
ASIGNACION                =                              90         2892      
STRING                    both                           90         2893      
COMA                      ,                              90         2899      
VARIABLE_LOCAL            expand                         90         2901      
ASIGNACION                =                              90         2907      
CONSTANTE                 True                           90         2908      
COMA                      ,                              90         2912      
VARIABLE_LOCAL            padx                           90         2914      
ASIGNACION                =                              90         2918      
PARENTESIS_IZQ            (                              90         2919      
INTEGER                   0                              90         2920      
COMA                      ,                              90         2921      
INTEGER                   5                              90         2923      
PARENTESIS_DER            )                              90         2924      
PARENTESIS_DER            )                              90         2925      
VARIABLE_LOCAL            editor_header                  93         2972      
ASIGNACION                =                              93         2986      
VARIABLE_LOCAL            tk                             93         2988      
PUNTO                     .                              93         2990      
CONSTANTE                 Frame                          93         2991      
PARENTESIS_IZQ            (                              93         2996      
VARIABLE_LOCAL            editor_frame                   93         2997      
COMA                      ,                              93         3009      
VARIABLE_LOCAL            bg                             93         3011      
ASIGNACION                =                              93         3013      
STRING                    #3d3d5c                        93         3014      
COMA                      ,                              93         3023      
VARIABLE_LOCAL            height                         93         3025      
ASIGNACION                =                              93         3031      
INTEGER                   50                             93         3032      
PARENTESIS_DER            )                              93         3034      
VARIABLE_LOCAL            editor_header                  94         3044      
PUNTO                     .                              94         3057      
VARIABLE_LOCAL            pack                           94         3058      
PARENTESIS_IZQ            (                              94         3062      
VARIABLE_LOCAL            fill                           94         3063      
ASIGNACION                =                              94         3067      
STRING                    x                              94         3068      
PARENTESIS_DER            )                              94         3071      
VARIABLE_LOCAL            editor_header                  95         3081      
PUNTO                     .                              95         3094      
VARIABLE_LOCAL            pack_propagate                 95         3095      
PARENTESIS_IZQ            (                              95         3109      
CONSTANTE                 False                          95         3110      
PARENTESIS_DER            )                              95         3115      
VARIABLE_LOCAL            tk                             97         3134      
PUNTO                     .                              97         3136      
CONSTANTE                 Label                          97         3137      
PARENTESIS_IZQ            (                              97         3142      
VARIABLE_LOCAL            editor_header                  98         3156      
COMA                      ,                              98         3169      
VARIABLE_LOCAL            text                           99         3183      
ASIGNACION                =                              99         3187      
STRING                    📝 Editor de Código             99         3188      
COMA                      ,                              99         3208      
VARIABLE_LOCAL            font                           100        3222      
ASIGNACION                =                              100        3226      
PARENTESIS_IZQ            (                              100        3227      
STRING                    Segoe UI                       100        3228      
COMA                      ,                              100        3238      
INTEGER                   12                             100        3240      
COMA                      ,                              100        3242      
STRING                    bold                           100        3244      
PARENTESIS_DER            )                              100        3250      
COMA                      ,                              100        3251      
VARIABLE_LOCAL            bg                             101        3265      
ASIGNACION                =                              101        3267      
STRING                    #3d3d5c                        101        3268      
COMA                      ,                              101        3277      
VARIABLE_LOCAL            fg                             102        3291      
ASIGNACION                =                              102        3293      
STRING                    #ffffff                        102        3294      
PARENTESIS_DER            )                              103        3312      
PUNTO                     .                              103        3313      
VARIABLE_LOCAL            pack                           103        3314      
PARENTESIS_IZQ            (                              103        3318      
VARIABLE_LOCAL            side                           103        3319      
ASIGNACION                =                              103        3323      
STRING                    left                           103        3324      
COMA                      ,                              103        3330      
VARIABLE_LOCAL            padx                           103        3332      
ASIGNACION                =                              103        3336      
INTEGER                   15                             103        3337      
COMA                      ,                              103        3339      
VARIABLE_LOCAL            pady                           103        3341      
ASIGNACION                =                              103        3345      
INTEGER                   10                             103        3346      
PARENTESIS_DER            )                              103        3348      
VARIABLE_LOCAL            text_frame                     106        3418      
ASIGNACION                =                              106        3429      
VARIABLE_LOCAL            tk                             106        3431      
PUNTO                     .                              106        3433      
CONSTANTE                 Frame                          106        3434      
PARENTESIS_IZQ            (                              106        3439      
VARIABLE_LOCAL            editor_frame                   106        3440      
COMA                      ,                              106        3452      
VARIABLE_LOCAL            bg                             106        3454      
ASIGNACION                =                              106        3456      
STRING                    #2d2d44                        106        3457      
PARENTESIS_DER            )                              106        3466      
VARIABLE_LOCAL            text_frame                     107        3476      
PUNTO                     .                              107        3486      
VARIABLE_LOCAL            pack                           107        3487      
PARENTESIS_IZQ            (                              107        3491      
VARIABLE_LOCAL            fill                           107        3492      
ASIGNACION                =                              107        3496      
STRING                    both                           107        3497      
COMA                      ,                              107        3503      
VARIABLE_LOCAL            expand                         107        3505      
ASIGNACION                =                              107        3511      
CONSTANTE                 True                           107        3512      
COMA                      ,                              107        3516      
VARIABLE_LOCAL            padx                           107        3518      
ASIGNACION                =                              107        3522      
INTEGER                   10                             107        3523      
COMA                      ,                              107        3525      
VARIABLE_LOCAL            pady                           107        3527      
ASIGNACION                =                              107        3531      
INTEGER                   10                             107        3532      
PARENTESIS_DER            )                              107        3534      
VARIABLE_LOCAL            self                           110        3580      
PUNTO                     .                              110        3584      
VARIABLE_LOCAL            line_numbers                   110        3585      
ASIGNACION                =                              110        3598      
VARIABLE_LOCAL            tk                             110        3600      
